PRICE,PROPERTYSQFT,BEDS,BATH,BATH_PER_BED,BEDS_PER_SQFT,TYPE,LOCALITY
315000,1400.0,2,2,1.0,0.0014285714285714,Condo for sale,Manhattan
260000,2015.0,4,2,0.5,0.001985111662531,House for sale,Staten Island
69000,445.0,3,1,0.3333333333333333,0.0067415730337078,Condo for sale,Manhattan
55000000,14175.0,7,2,0.3391229797097767,0.0004938271604938,Townhouse for sale,Manhattan
690000,4004.0,5,2,0.4,0.0012487512487512,House for sale,Brooklyn
899500,2184.207862,2,2,1.0,0.0009156637675356,Condo for sale,Manhattan
16800000,33000.0,8,16,2.0,0.0002424242424242,House for sale,Staten Island
265000,750.0,1,1,1.0,0.0013333333333333,Co-op for sale,The Bronx
440000,978.0,2,1,0.5,0.0020449897750511,Co-op for sale,Brooklyn
375000,850.0,2,1,0.5,0.0023529411764705,Co-op for sale,The Bronx
689000,1162.0,3,2,0.7912869526561458,0.0025817555938037,Townhouse for sale,Staten Island
259000,2184.207862,3,1,0.3333333333333333,0.0013734956513035,Co-op for sale,Queens
430000,2184.207862,2,2,1.0,0.0009156637675356,Co-op for sale,Queens
895000,2184.207862,3,1,0.3333333333333333,0.0013734956513035,Co-op for sale,Manhattan
549000,1000.0,2,2,1.0,0.002,Condo for sale,Staten Island
975000,1734.0,3,2,0.6666666666666666,0.0017301038062283,Townhouse for sale,Queens
199000,325.0,3,1,0.3333333333333333,0.0092307692307692,Co-op for sale,Brooklyn
350000,700.0,1,1,1.0,0.0014285714285714,Co-op for sale,The Bronx
599000,974.0,2,2,1.0,0.002053388090349,Condo for sale,Queens
639999,1260.0,3,2,0.6666666666666666,0.0023809523809523,House for sale,Staten Island
1300000,1244.0,2,2,1.0,0.0016077170418006,Condo for sale,Queens
1100000,2837.0,6,3,0.5,0.00211491011632,Multi-family home for sale,The Bronx
349900,651.0,1,1,1.0,0.0015360983102918,Condo for sale,Staten Island
750000,1330.0,2,2,1.0,0.0015037593984962,House for sale,Staten Island
1690000,2200.0,6,4,0.6666666666666666,0.0027272727272727,Multi-family home for sale,Queens
325000,2184.207862,1,1,1.0,0.0004578318837678,Co-op for sale,Queens
2250000,5670.0,12,2,0.1978217381640364,0.0021164021164021,Multi-family home for sale,Brooklyn
230000,2184.207862,1,1,1.0,0.0004578318837678,Co-op for sale,Queens
1299888,3156.0,10,6,0.6,0.003168567807351,Multi-family home for sale,Staten Island
925000,2750.0,5,2,0.4,0.0018181818181818,Multi-family home for sale,The Bronx
329000,794.0,1,2,2.0,0.0012594458438287,Condo for sale,Staten Island
1300000,5040.0,10,8,0.8,0.0019841269841269,Multi-family home for sale,Staten Island
848000,2080.0,5,4,0.8,0.0024038461538461,Multi-family home for sale,Brooklyn
279000,750.0,1,1,1.0,0.0013333333333333,Co-op for sale,Brooklyn
528000,602.0,1,1,1.0,0.0016611295681063,Condo for sale,Brooklyn
275000,2184.207862,1,1,1.0,0.0004578318837678,Co-op for sale,Queens
1165000,815.0,1,1,1.0,0.0012269938650306,Condo for sale,Brooklyn
1199000,3290.0,6,5,0.8333333333333334,0.0018237082066869,Multi-family home for sale,Staten Island
700000,3053.0,6,2,0.3333333333333333,0.0019652800524074,Multi-family home for sale,The Bronx
2150000,3200.0,8,4,0.5,0.0025,Multi-family home for sale,Brooklyn
1280000,2460.0,7,5,0.7142857142857143,0.0028455284552845,Multi-family home for sale,Queens
199900,2184.207862,1,1,1.0,0.0004578318837678,Co-op for sale,The Bronx
369000,2184.207862,2,1,0.5,0.0009156637675356,Co-op for sale,Queens
699000,1591.0,4,3,0.75,0.0025141420490257,Multi-family home for sale,Queens
4250000,2400.0,3,2,0.6666666666666666,0.00125,Co-op for sale,Manhattan
825000,2184.207862,2,2,1.0,0.0009156637675356,Multi-family home for sale,Queens
329000,837.0,2,1,0.5,0.002389486260454,Condo for sale,Staten Island
889000,1520.0,2,2,1.0,0.0013157894736842,Multi-family home for sale,Staten Island
769000,2184.207862,2,2,1.0,0.0009156637675356,Multi-family home for sale,Queens
1200000,2536.0,4,2,0.5,0.001577287066246,Multi-family home for sale,Brooklyn
220500,900.0,2,1,0.5,0.0022222222222222,Co-op for sale,Staten Island
1999000,2739.0,3,3,1.0,0.0010952902519167,Multi-family home for sale,Brooklyn
3250000,1300.0,2,2,1.0,0.0015384615384615,Co-op for sale,Manhattan
1650000,1267.0,2,2,1.0,0.0015785319652722,Condo for sale,Brooklyn
1049000,2554.0,4,4,1.0,0.0015661707126076,Multi-family home for sale,Staten Island
998800,2400.0,3,4,1.3333333333333333,0.00125,House for sale,Staten Island
998800,2400.0,3,4,1.3333333333333333,0.00125,House for sale,Staten Island
3150000,1952.0,3,2,0.6666666666666666,0.0015368852459016,For sale,Brooklyn
849000,2184.207862,1,1,1.0,0.0004578318837678,Co-op for sale,Manhattan
559500,800.0,1,1,1.0,0.00125,Co-op for sale,Brooklyn
750000,835.0,1,1,1.0,0.0011976047904191,Co-op for sale,Manhattan
1900000,1029.0,2,2,1.0,0.0019436345966958,Condo for sale,Manhattan
1250000,1201.0,2,2,1.0,0.0016652789342214,Condo for sale,Brooklyn
1395000,1182.0,2,2,1.0,0.0016920473773265,Condo for sale,Brooklyn
198000,2184.207862,1,1,1.0,0.0004578318837678,Co-op for sale,Queens
619888,1400.0,3,2,0.6666666666666666,0.0021428571428571,Contingent,Staten Island
1489000,3780.0,6,2,0.3956434763280729,0.0015873015873015,Multi-family home for sale,Staten Island
65000000,15200.0,3,2,0.7912869526561458,0.0001973684210526,Townhouse for sale,Manhattan
1595000,1413.0,3,3,1.0,0.0021231422505307,Condo for sale,Brooklyn
655000,803.0,3,2,0.6666666666666666,0.0037359900373599,Condo for sale,Brooklyn
2880000,2350.0,9,2,0.2637623175520486,0.0038297872340425,Multi-family home for sale,Queens
798000,2150.0,3,4,1.3333333333333333,0.0013953488372093,Multi-family home for sale,Staten Island
1685000,2184.207862,3,2,0.7912869526561458,0.0013734956513035,Land for sale,Brooklyn
31000000,4492.0,3,4,1.3333333333333333,0.0006678539626001,Condo for sale,Manhattan
2550000,2184.207862,3,2,0.7912869526561458,0.0013734956513035,Land for sale,Brooklyn
119000,2184.207862,3,2,0.7912869526561458,0.0013734956513035,Land for sale,The Bronx
269000,2184.207862,5,2,0.4,0.0022891594188392,Foreclosure,Queens
1650000,1065.0,2,2,1.0,0.0018779342723004,Condo for sale,Manhattan
12950000,3344.0,5,4,0.8,0.0014952153110047,Townhouse for sale,Manhattan
5750000,2223.0,3,2,0.6666666666666666,0.0013495276653171,Condo for sale,Manhattan
250000,2184.207862,5,2,0.4,0.0022891594188392,Multi-family home for sale,Queens
950000,3384.0,6,2,0.3956434763280729,0.00177304964539,Pending,Queens
585000,1100.0,3,2,0.6666666666666666,0.0027272727272727,House for sale,Staten Island
8750000,2184.207862,6,6,1.0,0.002746991302607,House for sale,Brooklyn
595000,1316.0,3,1,0.3333333333333333,0.0022796352583586,House for sale,Brooklyn
215000,625.0,1,1,1.0,0.0016,Condo for sale,Manhattan
950000,621.0,1,1,1.0,0.001610305958132,For sale,Manhattan
314000,1572.0,3,1,0.3333333333333333,0.0019083969465648,House for sale,Brooklyn
395000,1000.0,5,1,0.2,0.005,Condo for sale,Manhattan
600000,2184.207862,2,2,1.0,0.0009156637675356,Multi-family home for sale,The Bronx
790000,2520.0,6,3,0.5,0.0023809523809523,Multi-family home for sale,Staten Island
539000,1100.0,2,2,1.0,0.0018181818181818,Co-op for sale,Brooklyn
1295000,1995.0,4,2,0.5,0.0020050125313283,Co-op for sale,The Bronx
245000,2184.207862,3,1,0.3333333333333333,0.0013734956513035,House for sale,The Bronx
400000,2385.0,7,3,0.4285714285714285,0.0029350104821802,House for sale,The Bronx
55000000,12000.0,8,8,1.0,0.0006666666666666,House for sale,Manhattan
280000,1000.0,1,1,1.0,0.001,Co-op for sale,Brooklyn
899000,1440.0,3,2,0.6666666666666666,0.0020833333333333,House for sale,Staten Island
649000,2184.207862,4,3,0.75,0.0018313275350713,Coming Soon,Brooklyn
739000,2184.207862,6,4,0.6666666666666666,0.002746991302607,Pending,Brooklyn
1495000,3000.0,4,2,0.5934652144921093,0.0013333333333333,House for sale,Staten Island
3950000,3528.0,5,2,0.4,0.0014172335600907,House for sale,Brooklyn
325000,979.0,2,1,0.5,0.0020429009193054,Condo for sale,Manhattan
